Type, Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Poste,21045,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.0196,0.0172,1.51E-3,0,8.59E-4,,,,,,,,,,,0,-4.33E-3
,Poste,21045,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,8.80E-3,8.80E-3,0,0,0,,,,,,,,,,,0,0
,Elément,21046,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,1.29,1.26,0.0193,0,0.0182,,,,,,,,,,,0,0
,Poste,21046,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.938,0.931,4.20E-4,0,7.47E-3,,,,,,,,,,,0,0.0542
,Poste,21046,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.245,0.215,0.0189,0,0.0107,,,,,,,,,,,0,-0.0542
,Poste,21046,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"chassis porte conteneur, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion porte conteneur",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.11,0.11,0,0,0,,,,,,,,,,,0,0
,Elément,21047,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"benne céréalière, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion benne",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,1.39,1.35,0.021,0,0.0197,,,,,,,,,,,0,0
,Poste,21047,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"benne céréalière, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion benne",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,1.02,1.01,4.56E-4,0,8.11E-3,,,,,,,,,,,0,0.0588
,Poste,21047,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"benne céréalière, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion benne",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.266,0.233,0.0205,0,0.0116,,,,,,,,,,,0,-0.0588
,Poste,21047,élément décomposé par poste et par gaz,Valide générique,Ensemble articulé,"benne céréalière, PTRA 40T",,Transport de marchandises > Routier > Spéciaux,"fret routier, poids lourd, PL, ensemble articulé, camion benne",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.11,0.11,0,0,0,,,,,,,,,,,0,0
