Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Electricité > Mix réseau électrique > Autres pays du monde,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Elément,élément non décomposé,15579,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, États-Unis",Autre pays du monde,États-Unis,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,522",,,,
Elément,élément non décomposé,15580,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Australie",Autre pays du monde,Australie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,841",,,,
Elément,élément non décomposé,15582,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Japon",Autre pays du monde,Japon,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,416",,,,
Elément,élément non décomposé,15583,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Corée du sud",Autre pays du monde,Corée du sud,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,533",,,,
Elément,élément non décomposé,15584,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Nouvelle-Zélande",Autre pays du monde,Nouvelle-Zélande,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,15",,,,
Elément,élément non décomposé,15585,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Autriche",Autre pays du monde,Autriche,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,188",,,,
Elément,élément non décomposé,15586,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Belgique",Autre pays du monde,Belgique,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,22",,,,
Elément,élément non décomposé,15587,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, République Tchèque",Autre pays du monde,République Tchèque,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,589",,,,
Elément,élément non décomposé,15588,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Danemark",Autre pays du monde,Danemark,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,36",,,,
Elément,élément non décomposé,15589,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Estonie",Autre pays du monde,Estonie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"1,01",,,,
Elément,élément non décomposé,15590,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Finlande",Autre pays du monde,Finlande,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,229",,,,
Elément,élément non décomposé,15591,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, France",Autre pays du monde,France,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,0791",,,,
Elément,élément non décomposé,15592,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Allemagne",Autre pays du monde,Allemagne,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,461",,,,
Elément,élément non décomposé,15593,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Grèce",Autre pays du monde,Grèce,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,718",,,,
Elément,élément non décomposé,15594,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Hongrie",Autre pays du monde,Hongrie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,317",,,,
Elément,élément non décomposé,15595,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Islande",Autre pays du monde,Islande,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,000183",,,,
Elément,élément non décomposé,15596,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Irlande",Autre pays du monde,Irlande,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,458",,,,
Elément,élément non décomposé,15597,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Italie",Autre pays du monde,Italie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,406",,,,
Elément,élément non décomposé,15598,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Luxembourg",Autre pays du monde,Luxembourg,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,41",,,,
Elément,élément non décomposé,15599,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Pays-Bas",Autre pays du monde,Pays-Bas,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,415",,,,
Elément,élément non décomposé,15600,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Norvège",Autre pays du monde,Norvège,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,0167",,,,
Elément,élément non décomposé,15601,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Pologne",Autre pays du monde,Pologne,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,781",,,,
Elément,élément non décomposé,15602,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Portugal",Autre pays du monde,Portugal,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,255",,,,
Elément,élément non décomposé,15603,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Slovaquie",Autre pays du monde,Slovaquie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,197",,,,
Elément,élément non décomposé,15604,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Slovénie",Autre pays du monde,Slovénie,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,325",,,,
Elément,élément non décomposé,15605,Valide générique,kgCO2e/kWh,Électricité,mix moyen,,Electricité > Mix réseau électrique > Autres pays du monde,"Electricité hors France, Espagne",Autre pays du monde,Espagne,Novembre 2014,Novembre 2014,déc-17,10%,,,,,,,,,,,,,"0,238",,,,
