Type,Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Poste,21594,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de plus de 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Decembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / GNV,0.031,0.0264,3.42E-3,0,1.18E-3,,,,,,,,,,,0,-5.94E-3
,Elément,21595,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de 150 000 à 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,1.66,1.6,0.0346,0,0.0245,,,,,,,,,,,0,0
,Poste,21595,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de 150 000 à 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / GNV,1.32,1.31,9.24E-4,0,0.0111,,,,,,,,,,,0,0.0675
,Poste,21595,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de 150 000 à 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / GNV,0.336,0.289,0.0337,0,0.0134,,,,,,,,,,,0,-0.0675
,Elément,21596,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de 150 000 à 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.167,0.161,3.48E-3,0,2.46E-3,,,,,,,,,,,0,0
,Poste,21596,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de 150 000 à 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / GNV,0.133,0.132,9.30E-5,0,1.12E-3,,,,,,,,,,,0,6.78E-3
,Poste,21596,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de 150 000 à 250 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / GNV,0.0338,0.0291,3.38E-3,0,1.34E-3,,,,,,,,,,,0,-6.78E-3
,Elément,21597,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de moins de 150 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,1.44,1.39,0.0264,0,0.0218,,,,,,,,,,,0,0
,Poste,21597,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de moins de 150 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / GNV,1.15,1.14,6.42E-4,0,9.35E-3,,,,,,,,,,,0,0.0627
,Poste,21597,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de moins de 150 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / GNV,0.295,0.257,0.0258,0,0.0124,,,,,,,,,,,0,-0.0627
,Elément,21598,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de moins de 150 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.182,0.175,3.33E-3,0,2.74E-3,,,,,,,,,,,0,0
,Poste,21598,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de moins de 150 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / GNV,0.144,0.143,8.10E-5,0,1.18E-3,,,,,,,,,,,0,7.90E-3
,Poste,21598,élément décomposé par poste et par gaz,Valide générique,Autobus,agglomérations de moins de 150 000 habitants,,Transport de personnes > Routier > Autobus,"transport de personne routier, autobus",kgCO2e/passager.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / GNV,0.0372,0.0324,3.25E-3,0,1.56E-3,,,,,,,,,,,0,-7.90E-3
