Type Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,20714,élément non décomposé,Valide générique,Enrobés bitumineux,avec 20% REC,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,43.7,,,,,,,,,,,,,,,,
Elément,20715,élément non décomposé,Valide générique,Enrobés bitumineux,avec 30% REC,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,41.5,,,,,,,,,,,,,,,,
Elément,20716,élément non décomposé,Valide générique,Enrobés bitumineux,avec 50% REC,,Achats de biens > Produits minéraux non métalliques > Enrobés pour la route,"matériaux de construction, route, enrobés routiers",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,36.9,,,,,,,,,,,,,,,,
Elément,20718,élément non décomposé,Valide générique,Chaux,,,"Achats de biens > Produits minéraux non métalliques > Ciment, chaux, plâtre, béton","chaux, matériaux de construction",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,1041,,,,,,,,,,,,,,,,
Poste,20721,élément décomposé par gaz,Valide générique,Bois d'oeuvre (construction),"(si replanté), amont",,Achats de biens > Bois,"bois, bois d'uvre",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,Total Non Décomposé,,36.7,36.7,0,0,0,,,,,,,,,,,0,-1833
Elément,20722,élément non décomposé,Valide générique,Béton armé,,,"Achats de biens > Produits minéraux non métalliques > Ciment, chaux, plâtre, béton","matériaux de construction, béton",kgCO2e/tonne,LAFARGE,,,Association Technique de l'Industrie des Liants Hydrauliques,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,20%,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,
Elément,20723,élément non décomposé,Valide générique,Ciment Portland,,,"Achats de biens > Produits minéraux non métalliques > Ciment, chaux, plâtre, béton","matériaux de construction, ciment Portland",kgCO2e/tonne,LAFARGE,,,Association Technique de l'Industrie des Liants Hydrauliques,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,866,,,,,,,,,,,,,,,,
Elément,20728,élément non décomposé,Valide générique,Bâtiment agricole,structure en béton,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Bâtiment agricole",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,50%,,,,,,,,,,,,,656,,,,,,,,,,,,,,,,
Elément,20729,élément non décomposé,Valide générique,Bâtiment agricole,structure métallique,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Bâtiment agricole",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,50%,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,
Elément,20730,élément non décomposé,Valide générique,Bâtiment industriel,structure en béton,,"Achats de biens > Bâtiments, ouvrages d'art et voirie > Bâtiments","bâtiment, Bâtiment industriel",kgCO2e/m²,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,50%,,,,,,,,,,,,,825,,,,,,,,,,,,,,,,
